region_id,brickname,ra,dec,area_deg2,n_gal,n_lrg_v1_pure_massive,n_lrg_v2_baseline_dr10,n_lrg_v3_color_relaxed,n_lrg_v4_mag_relaxed,n_lrg_v5_very_relaxed
177,0202m740,20.25,-74.0,0.0620183558612167,9355,8,22,120,248,473
178,0203p287,20.36392405063291,28.75,0.0624251150474976,2162,10,27,105,223,398
179,0204m612,20.43103448275862,-61.25,0.0621967742280201,4027,9,20,73,156,290
180,0205p255,20.59907834101383,25.5,0.0623906383653528,2258,21,37,129,250,384
181,0206m050,20.68245125348189,-5.0,0.0624355513267689,4508,15,28,95,227,404
182,0206m377,20.64798598949212,-37.75,0.062313489654909,4747,13,25,102,240,450
183,0206p017,20.625,1.75,0.0624707998707726,4958,13,39,114,242,434
184,0206p317,20.66775244299674,31.75,0.0623221820349825,2542,21,42,125,269,482
185,0208m180,20.8600583090379,-18.0,0.0623870397712546,5070,17,26,112,235,416
186,0208m310,20.8252427184466,-31.0,0.0624150451990297,5246,24,40,134,265,457
187,0209p205,20.93333333333333,20.5,0.062444763080688,2323,26,47,118,247,411
188,0211p240,21.16843702579666,24.0,0.0623816585474501,1917,17,38,109,246,431
189,0213m147,21.30559540889526,-14.75,0.0624347671881687,4656,6,21,120,256,393
190,0213m460,21.33466135458167,-46.0,0.0622701232533746,5652,12,32,178,341,570
191,0213p147,21.30559540889526,14.75,0.0624347671881687,2391,21,37,104,226,385
192,0214m735,21.40776699029126,-73.5,0.0620421377334135,7528,10,23,113,242,417
193,0215p230,21.55120481927711,23.0,0.0623835625689345,2510,11,23,121,251,424
194,0216m005,21.625,-0.5,0.0624975706137514,4491,8,21,92,208,345
195,0216p270,21.69517884914464,27.0,0.062356550205144,3140,12,21,159,355,610
195,0217p272,21.76287051482059,27.25,0.0624114502828521,3364,8,21,141,276,482
196,0217m325,21.72413793103448,-32.5,0.0623195155250387,3797,66,120,202,362,604
196,0217m327,21.79571663920922,-32.75,0.0623504539712365,4374,6,20,95,211,394
197,0217p255,21.70506912442396,25.5,0.0623906383653499,2212,6,27,136,245,415
198,0220m432,22.0722433460076,-43.25,0.0623130563570313,1919,15,40,92,190,320
198,0221m435,22.15648854961832,-43.5,0.0622935511481102,3834,13,24,91,208,358
199,0220p167,22.04347826086957,16.75,0.0624502565992159,2457,20,40,107,262,436
200,0222m367,22.26643598615917,-36.75,0.0623813027135954,4669,11,25,118,251,462
201,0222p105,22.21438645980254,10.5,0.0624068205088685,1941,10,22,77,172,302
202,0222p205,22.26666666666667,20.5,0.0624447630806887,2436,19,29,102,207,342
203,0223m467,22.36363636363636,-46.75,0.062289313344388,4465,23,42,120,243,446
204,0224m675,22.41877256317689,-67.5,0.0621687393344635,2882,6,20,84,178,323
205,0225p062,22.5,6.25,0.0624755582888585,2292,15,24,106,209,363
206,0226p027,22.625,2.75,0.0624279746327597,4448,38,59,107,228,387
206,0226p030,22.625,3.0,0.0624142964104617,4356,39,58,125,228,417
207,0226p150,22.62931034482759,15.0,0.0624520512960062,2395,13,36,118,229,406
208,0228m752,22.86486486486486,-75.25,0.0619301544899171,3889,16,25,73,149,269
209,0229m302,22.96950240770466,-30.25,0.0623957735113284,4414,12,26,105,227,407
210,0229p155,22.92086330935252,15.5,0.062393289201923,2084,17,36,108,238,408
210,0229p157,22.95389048991354,15.75,0.0624069903217821,2681,7,23,121,262,479
211,0231p120,23.1063829787234,12.0,0.062434903710281,2596,10,25,101,249,432
212,0233p222,23.34332833583208,22.25,0.0624427131056328,2203,8,21,80,174,321
212,0233p225,23.37837837837838,22.5,0.0624242432176691,2004,10,28,100,219,377
213,0235p185,23.55263157894737,18.5,0.0623896646661379,2091,20,37,120,249,427
213,0238p185,23.81578947368421,18.5,0.0623896646661386,2348,23,37,162,342,582
214,0236m035,23.65785813630042,-3.5,0.0624701394968345,4465,14,26,84,203,356
215,0236m190,23.6217008797654,-19.0,0.0623875398085988,4527,15,33,103,211,406
216,0236m282,23.66929133858268,-28.25,0.062425278383907,4949,17,32,110,241,401
217,0239m295,23.93312101910828,-29.5,0.0623662026240689,4949,6,20,79,225,419
218,0240m365,24.05172413793104,-36.5,0.0623681552279636,5105,19,42,162,286,551
219,0240p077,24.07563025210084,7.75,0.0624494818083053,1944,25,43,100,210,334
219,0243p077,24.32773109243697,7.75,0.062449481808288,2455,16,28,116,223,354
220,0241p225,24.18918918918919,22.5,0.0624242432176573,2074,11,24,87,204,359
221,0243m582,24.33070866141732,-58.25,0.0621512015220278,3776,5,20,94,242,388
222,0244m035,24.40890125173853,-3.5,0.0624701394968361,4521,9,23,97,218,386
223,0246p015,24.625,1.5,0.0624785332483157,4608,7,24,94,188,345
224,0248m080,24.83193277310924,-8.0,0.0624118035622273,4558,18,27,77,199,392
225,0248m562,24.85074626865672,-56.25,0.0621906483917895,5611,9,30,139,286,527
226,0248p165,24.87698986975398,16.5,0.0624411777738814,1914,12,23,77,179,287
227,0250m230,25.07530120481928,-23.0,0.0623835625689491,5126,16,33,102,203,339
228,0251m487,25.14705882352941,-48.75,0.0623330633248111,3552,12,27,81,190,363
229,0251m847,25.14705882352941,-84.75,0.0605524937277748,3522,5,20,103,237,389
230,0252p055,25.23012552301255,5.5,0.0624725151931891,2809,10,26,118,224,411
230,0254p055,25.48117154811715,5.5,0.0624725151931923,2545,6,28,118,257,400
231,0253m030,25.375,-3.0,0.0624142964104617,3503,11,22,66,159,328
232,0253p162,25.36127167630058,16.25,0.062430938115808,2749,7,21,103,213,387
233,0254m802,25.40322580645161,-80.25,0.0614574324828886,3208,19,31,133,254,414
234,0258p325,25.86206896551724,32.5,0.0623195155250253,2152,12,20,87,205,365
235,0259m047,25.94707520891365,-4.75,0.0624587911387938,4611,15,28,120,257,434
236,0261p032,26.16133518776078,3.25,0.0624862163214769,4419,10,26,115,209,345
237,0262m800,26.22047244094488,-80.0,0.0615288330412019,3459,6,20,159,308,535
238,0263m265,26.3312693498452,-26.5,0.0623405794509446,4853,10,20,131,272,477
239,0263p112,26.35077793493635,11.25,0.062426170589416,2821,9,21,120,280,471
240,0263p287,26.34493670886076,28.75,0.0624251150475108,2756,19,27,158,303,498
241,0264m032,26.41168289290681,-3.25,0.0624862163214919,4111,11,26,123,268,446
242,0264m057,26.48535564853556,-5.75,0.0624456733661841,4621,17,38,141,293,486
243,0265m507,26.58643326039387,-50.75,0.0623013505457629,3212,17,34,81,195,375
244,0265p102,26.53032440056418,10.25,0.0624566943109215,2442,14,21,118,237,369
244,0265p105,26.53032440056418,10.5,0.06240682050887,2235,11,24,86,211,345
245,0265p190,26.52492668621701,19.0,0.0623875398085973,2154,14,31,81,179,322
245,0265p192,26.56387665198238,19.25,0.0623846875421479,2648,15,35,120,239,393
245,0267p190,26.78885630498534,19.0,0.0623875398086138,2232,22,37,115,229,399
246,0267p202,26.72082717872969,20.25,0.062361265325801,2291,9,21,96,207,377
247,0268m417,26.88311688311688,-41.75,0.062286744425797,4393,13,26,102,216,420
248,0268m462,26.82,-46.25,0.062236125650045,5016,15,27,132,291,532
249,0268m802,26.85483870967742,-80.25,0.061457432482889,2767,18,37,168,326,509
250,0269p215,26.95976154992549,21.5,0.0623975519310752,2468,12,39,141,311,510
251,0272m147,27.24533715925395,-14.75,0.0624347671881702,5030,10,26,96,246,463
252,0274m047,27.45125348189415,-4.75,0.0624587911387938,4939,16,29,134,290,485
252,0274m050,27.45125348189415,-5.0,0.0624355513267689,4924,10,22,104,245,451
253,0274m430,27.44318181818182,-43.0,0.0623312319421964,5031,9,43,128,257,436
254,0275m127,27.524893314367,-12.75,0.0624329581874076,5316,9,26,115,258,427
255,0275m290,27.52773375594295,-29.0,0.0623737806650867,6221,12,33,173,352,559
256,0276m020,27.625,-2.0,0.0624618771392499,4372,5,27,128,244,444
257,0276m177,27.64192139737991,-17.75,0.0623839548558273,6054,28,49,189,378,620
258,0277m847,27.79411764705882,-84.75,0.0605524937277739,3202,8,22,86,204,357
259,0278m132,27.82051282051282,-13.25,0.0623960568143426,5443,8,22,96,208,400
260,0278m155,27.84172661870504,-15.5,0.0623932892019253,6316,14,26,148,296,537
260,0278m157,27.88184438040346,-15.75,0.0624069903217821,5666,10,21,92,197,369
261,0279p092,27.9746835443038,9.25,0.062468074911475,2155,9,23,84,179,337
262,0281m540,28.16470588235294,-54.0,0.062236036166561,5559,5,21,96,208,379
263,0282m462,28.26,-46.25,0.0622361256500473,3302,24,46,142,277,471
263,0285m460,28.50597609561753,-46.0,0.0622701232533746,5766,8,20,99,230,438
263,0286m462,28.62,-46.25,0.0622361256500445,4324,31,45,140,298,507
263,0284m465,28.43058350100604,-46.5,0.0623258175730178,4815,9,24,103,224,389
264,0284p032,28.4144645340751,3.25,0.0624862163214776,3985,7,22,78,180,318
265,0284p087,28.44101123595506,8.75,0.062466618945461,2410,22,36,115,245,426
265,0286p087,28.6938202247191,8.75,0.0624666189454634,2107,9,23,82,188,333
266,0287m357,28.72013651877133,-35.75,0.0623221846713118,4116,13,25,78,184,328
