name,ra,dec,zlens,type,grading,ref
DESI-036.4999-28.5135,36.49942,-28.51316,0.269,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764 | Storfer et al. (2022) - arXiv:2206.02764
DESI-036.5643-32.5263,36.56431,-32.5263,0.54,galaxy,probable,Jacobs et al. (2018) - arXiv:1811.03786 | Moustakas et al. (2012) - adsabs:2012hst..prop12833M | Storfer et al. (2022) - arXiv:2206.02764
DESI-036.6282-04.6316,36.62819,-4.63158,0.590596,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970 | Shu et al. (2022) - arXiv:2201.11135
DESI-036.6316-27.1609,36.63158,-27.16094,0.697,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-036.6556-03.7101,36.65558,-3.7101,0.503,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970
DESI-036.6672-27.7096,36.66725,-27.70961,0.319,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-036.6760-03.6801,36.676,-3.6801,0.316,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970
DESI-036.6777-03.6555,36.67771,-3.6555,0.631,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970
DESI-036.6819-03.6905,36.68192,-3.6905,0.328354,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970
DESI-036.7198+00.2833,36.71979,0.2833,0.302194,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970
DESI-036.7325-05.1276,36.7325,-5.1276,0.436139,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970
DESI-036.7384-29.3340,36.73842,-29.334,0.567,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-036.7736-09.8208,36.77362,-9.82077,0.965,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-036.8067+29.5796,36.80671,29.5796,0.450736,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-036.8076-05.0255,36.80758,-5.0255,0.548,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970
